Source_Amplitude,Frequency_omega,Max_Abs_E,Max_Abs_Real_Ex,Max_Abs_Imag_Ex,Max_Abs_Real_Ey,Max_Abs_Imag_Ey
0.1,0.3,0.011265341805420045,0.008384521434960386,0.007621154016293909,0.007387324782101213,0.002738501173103243
0.1,0.31805369127516775,0.011553543274258608,0.009117380559338953,0.00720398980028927,0.007789917225842079,0.003233972922366999
0.1,0.33610738255033556,0.011782594301318616,0.0097182329032223,0.006772749591528294,0.008030684414339448,0.003747892072249543
0.1,0.3541610738255033,0.011930161419137063,0.01019185518898501,0.006383337173893444,0.008113865671274277,0.004121637239697398
0.1,0.3722147651006712,0.012045488880425373,0.010475650512092854,0.0065296966550756185,0.007986396732994607,0.0043968645538641615
0.1,0.39026845637583896,0.012052971499736127,0.010732726806597308,0.006772779085237388,0.007791927100803903,0.004899773184253408
0.1,0.4083221476510067,0.012075469461729976,0.010940595308702006,0.006895549032634756,0.007486742742432116,0.005274422430900179
0.1,0.4263758389261745,0.012183112424569778,0.011150622307431407,0.006897029012126552,0.007120229568110123,0.005446606194887204
0.1,0.4444295302013423,0.012103933018292283,0.011337069026026282,0.007279090371214147,0.006781910256017242,0.006154261475548068
0.1,0.46248322147651005,0.012002800207736941,0.011431416183475816,0.00754711220654837,0.006349776975789781,0.006667888848631226
0.1,0.4805369127516778,0.012099307595676269,0.01158730213824034,0.007530342562614974,0.0059384329887933116,0.006612627847309366
0.1,0.49859060402684563,0.012160435919585115,0.011712162286200728,0.0076071667302696705,0.005570154684161785,0.006556897004366566
0.1,0.5166442953020134,0.012051292102073334,0.011713721959948565,0.007768896991446299,0.005174284781083527,0.006670671111717059
0.1,0.5346979865771813,0.011928175484486785,0.01169170846858988,0.007972699370010949,0.00481353830636881,0.0067803767622509154
0.1,0.552751677852349,0.01148252025166373,0.01136851155685603,0.008816219531979273,0.0042254406333193375,0.006990308501092917
0.1,0.5708053691275168,0.011191693093610419,0.011129198431513396,0.009629435209067417,0.003829570550776977,0.00682510907130216
0.1,0.5888590604026847,0.011016150657860106,0.010977545974263703,0.01020247498139233,0.0036848919285336714,0.006426234092272607
0.1,0.6069127516778523,0.01102720108669272,0.0108962353410588,0.010604415914059325,0.004148079830920812,0.005901441883872723
0.1,0.6249664429530202,0.011123353439508911,0.010929271824595006,0.010818801434005383,0.004421761058069549,0.0053685964956873885
0.1,0.6430201342281878,0.011149355971100144,0.011058886726303632,0.01084943691493274,0.004514676945748257,0.004906281614588315
0.1,0.6610738255033557,0.011424956031494437,0.011346708103735809,0.010589692638118382,0.004346447636382053,0.004686891037652857
0.1,0.6791275167785236,0.01161054104669778,0.011559523061581036,0.010189316336320855,0.00397920567387227,0.0046577366929933615
0.1,0.6971812080536913,0.011638142519935599,0.011614205991867714,0.009917732814375907,0.003817793106909885,0.004640845309693139
0.1,0.7152348993288591,0.011547639133605736,0.011536072314989362,0.0099319016068643,0.0038547440256510787,0.0045547000645204715
0.1,0.7332885906040268,0.011408878818115727,0.011402373550534015,0.010111959939338167,0.004243375760684278,0.004363159809382477
0.1,0.7513422818791946,0.011297016601473244,0.01129045352038075,0.010249807670452802,0.004659586375970663,0.004099130281573971
0.1,0.7693959731543625,0.011294517790333478,0.01129023683329681,0.010562663866538664,0.005115392797214376,0.0038249710307382157
0.1,0.7874496644295302,0.011402949886923764,0.011399874351797627,0.010517451234965402,0.005567653996849312,0.003687879601433912
0.1,0.805503355704698,0.011562255018807767,0.011555226801551388,0.01041364452544714,0.006029427681330776,0.0037785339723777054
0.1,0.8235570469798658,0.011626339144268957,0.011596558893996746,0.009977704695021712,0.00622612021831965,0.004121308848804289
0.1,0.8416107382550336,0.011505098641214769,0.01142752621040393,0.009918823644825757,0.006035002499781095,0.004517401479751827
0.1,0.8596644295302013,0.011175541075885496,0.011034538307796929,0.009810566636329019,0.005451461910149448,0.005325469725678968
0.1,0.8777181208053692,0.010949148251578812,0.010530139620297885,0.009761972583696148,0.004528387785455023,0.005968635290516273
0.1,0.895771812080537,0.010983450041152795,0.010006515538045279,0.00965762742284731,0.003473221348879055,0.006177949103668062
0.1,0.9138255033557048,0.010951095485287516,0.009654277313201499,0.0099603898719362,0.003102556421391843,0.006118406002484884
0.1,0.9318791946308725,0.010881824788811174,0.009657118296978729,0.010188980613647076,0.00272656178332004,0.005921081787045181
0.1,0.9499328859060403,0.010875040136423769,0.009675696435296036,0.010392612908340747,0.0021355329824892205,0.005799153433259876
0.1,0.9679865771812082,0.01096208520279813,0.009513723570096303,0.01073118961790677,0.0019240768562599276,0.005739681339193438
0.1,0.9860402684563758,0.011238367245503108,0.009283407960551106,0.011145345579201046,0.0018064236013156305,0.005847251294299557
0.1,1.0040939597315437,0.01163373350451384,0.009313662665835347,0.011602113735705898,0.0018717098831464586,0.005991459558388583
0.1,1.0221476510067113,0.012018805360012161,0.00972553483809633,0.011897106614833884,0.002587876185589252,0.0060696920708288235
0.1,1.0402013422818792,0.01245134112443756,0.010445247732413962,0.011967479612460988,0.0032794804947247993,0.005916916404101332
0.1,1.058255033557047,0.012808508236658949,0.011348959010379937,0.011957655549828385,0.004453372512527404,0.005461039666477611
0.1,1.0763087248322147,0.013049735432209138,0.012252016226334542,0.011659751120454219,0.00554630748416411,0.004868880803693401
0.1,1.0943624161073826,0.013248854902808178,0.013019675780491525,0.011046275092346888,0.006337647902200655,0.0044241182824875025
0.1,1.1124161073825503,0.013511864853766322,0.013511268717784939,0.01039922629597229,0.006804587885885677,0.0041287050911193056
0.1,1.1304697986577181,0.013705896722740935,0.013647097239238806,0.009928340968463926,0.006864865012031553,0.0038968082399096185
0.1,1.148523489932886,0.013611764390491686,0.013396109179697384,0.009155433691589158,0.006461580204260377,0.004167133803585556
0.1,1.1665771812080536,0.013229613593413443,0.012779645074021972,0.009293580289349858,0.0058053379205217,0.004629548221087712
0.1,1.1846308724832215,0.012583931064702514,0.011888793976814482,0.009910601749345783,0.005225219506289755,0.0049375953841285245
0.1,1.2026845637583894,0.011738596270055794,0.010831610397546858,0.010292999755924013,0.0044862069546659795,0.005093125672416376
0.1,1.220738255033557,0.011105232436260114,0.009763325682035836,0.010239810103431838,0.0035829354545216206,0.005110414794834472
0.1,1.238791946308725,0.010515678980270742,0.008857668353884967,0.009966658458254705,0.002593773768781537,0.005019543049862167
0.1,1.2568456375838928,0.010154799069005994,0.00836850231510785,0.009403855715910143,0.002070349105900376,0.004853001919024077
0.1,1.2748993288590604,0.010060522906099071,0.008372616477934396,0.009888923674287318,0.0021070881265525827,0.004692309575367142
0.1,1.292953020134228,0.010183946037560026,0.008205885483375839,0.009965698198064607,0.0018453128699679304,0.004889617696991332
0.1,1.3110067114093962,0.010653644862723667,0.007965202929347806,0.010099494086354785,0.0013493502157684337,0.00517844108035246
